Tettsted;Kommune;Folkemengde;Folkemengde;Areal, km2;Areal, km2;Areal, km2;
I alt;Fordelt på kommune;I alt;Fordelt på kommune;Innbyggere pr. km2;
8481 Kvalsund;2017 Kvalsund;288; ;0,29; ;993;
8592 Havøysund;2018 Måsøy;976; ;0,62; ;1574;
8602 Honningsvåg;2019 Nordkapp;2484; ;1,05; ;2366;
8603 Nordvågen;2019 Nordkapp;441; ;0,20; ;2205;
8611 Lakselv;2020 Porsanger;2283; ;2,30; ;993;
8621 Karasjok;2021 Karasjohka/Karasjok;1844; ;2,19; ;842;
8631 Kjøllefjord;2022 Lebesby;945; ;0,45; ;2100;
8641 Mehamn;2023 Gamvik;779; ;0,52; ;1498;
8651 Berlevåg;2024 Berlevåg;948; ;0,70; ;1354;
8661 Tana Bru;2025 Deatnu/Tana;728; ;0,97; ;751;
8671 Båtsfjord;2028 Båtsfjord;2212; ;1,44; ;1536;
8682 Hesseng;2030 Sør-Varanger;1733; ;1,17; ;1481;
8683 Bjørnevatn;2030 Sør-Varanger;2579; ;1,83; ;1409;
8684 Kirkenes;2030 Sør-Varanger;3566; ;2,14; ;1666;
