navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
MARTA;19;23;14;11;23;22;30;29;16;12;
MARTE;36;27;27;40;48;50;66;55;81;95;
MARTHA;19;16;12;14;16;18;24;21;27;29;
MARTHE;13;15;10;28;22;25;26;35;42;60;
MARTINA;4;7;7;11;7;5;5;10;11;7;
MARTINE;82;92;115;123;146;133;169;215;259;223;
MARTYNA;:;11;9;8;8;8;10;10;15;13;
MARWA;8;12;9;9;9;8;12;11;7;11;
MARY;:;11;11;:;4;4;10;9;7;6;
MARYAM;20;30;27;27;28;32;22;28;20;16;
MATHEA;102;135;113;130;141;154;154;160;160;149;
MATHILDA;8;11;8;23;17;19;16;17;19;15;
MATHILDE;155;172;174;209;217;229;235;224;201;246;
MATILDA;21;37;32;34;33;22;29;31;23;27;
MATILDE;49;52;57;65;64;72;57;80;70;90;
MAUD;16;7;10;15;9;10;7;10;9;6;
MAY;:;5;7;13;6;13;5;12;16;13;
MAYA;76;97;68;83;93;64;81;94;91;76;
MEDINA;5;8;8;12;14;6;15;12;5;8;
MELINA;22;24;40;26;30;29;29;20;31;19;
MELINDA;:;:;4;4;4;4;8;7;11;:;
MELISSA;32;31;32;33;44;52;42;36;43;29;
MIA;205;247;258;272;265;255;344;286;285;338;
MICHELLE;32;53;49;39;57;62;45;56;86;89;
MIE;79;104;105;184;134;112;119;115;96;92;
MIKAELA;5;15;8;10;5;8;6;10;6;7;
MILA;49;43;31;49;32;21;23;10;8;9;
MILANA;6;6;10;9;11;10;6;4;5;5;
MILEAH;10;11;4;:;:;:;:;:;:;:;
MILENA;11;19;17;27;14;15;14;12;9;8;
MILIA;4;11;6;4;:;:;:;:;:;:;
MILJA;:;:;5;:;4;5;:;:;10;4;
MILLA;51;63;77;71;71;78;82;100;133;120;
MILLE;107;120;119;112;145;153;132;147;152;155;
MILLIE;8;12;16;15;6;12;6;4;10;4;
MILLY;10;:;8;9;5;:;8;6;8;4;
MINA;98;137;121;137;156;132;169;143;190;212;
MIRA;46;39;49;37;30;31;25;34;47;44;
MIRIAM;40;40;49;34;41;61;52;58;75;68;
MOA;4;:;:;6;9;10;7;4;12;9;
MOLLY;22;26;36;21;24;34;40;30;27;12;
MONA;17;16;11;11;13;23;18;14;23;18;
MONIKA;6;:;:;4;6;4;10;6;6;8;
MUNA;5;:;5;:;5;:;12;:;6;9;
MUNIRA;6;11;6;6;6;4;7;4;4;6;
NADIA;27;27;26;35;33;35;29;35;43;35;
NAJMA;:;4;:;4;4;4;11;6;5;15;
NANNA;8;5;6;13;8;10;11;14;12;9;
NAOMI;26;28;35;35;38;29;28;31;26;24;
NATALIA;31;36;30;29;39;21;29;38;31;29;
NATALIE;36;44;46;52;53;67;70;66;92;93;
NATHALIE;50;40;59;63;72;96;86;103;89;109;
NAWAL;:;5;:;13;:;5;:;8;5;:;
NELA;9;7;7;11;5;:;:;4;6;:;
