;label;name
826;LOC;Øystese
827;LOC;Norheimsund
828;LOC;Oma
829;LOC;Ploganes
830;LOC;Vikøy
831;LOC;Eikelandsosen
832;LOC;Søfteland
833;LOC;Søre Øyane
834;LOC;Osøyro
835;LOC;Søvik 
836;LOC;Klokkarvik
837;LOC;Hammarsland
838;LOC;Tælavåg
839;LOC;Forland
840;LOC;Glesnes
841;LOC;Skogsvågen
842;LOC;Fardalen
843;LOC;Skoge
844;LOC;Møvik
845;LOC;Ågotnes
846;LOC;Knappskog
847;LOC;Askøy
848;LOC;Hanøy
849;LOC;Ramsøy
850;LOC;Davanger
851;LOC;Frommereid
852;LOC;Vaksdal
853;LOC;Stanghelle
854;LOC;Hausvik
855;LOC;Lonevåg
856;LOC;Valestrandfossen
857;LOC;Fotlandsvåg
858;LOC;Haugo
859;LOC;Hamre
860;LOC;Haugland
861;LOC;Manger
862;LOC;Austmarka
863;LOC;Lindås
864;LOC;Knarvik
865;LOC;Leknes
866;LOC;Seim
867;LOC;Kaland
868;LOC;Årås
869;LOC;Fedje
870;LOC;Våge
871;LOC;Uggdalseidet
872;LOC;Granvin
873;LOC;Storebø
874;LOC;Bekkjarvik
875;LOC;Frekhaug
876;LOC;Krossneset
877;LOC;Holme
878;LOC;Dalemarka
879;LOC;Moldekleiv
880;LOC;Vikebø
881;LOC;Vikavågen
882;LOC;Torsteinsvik
883;LOC;Rossnes
884;LOC;Blomvåg
885;LOC;Flesland
886;LOC;Krokeidet
887;LOC;Hordnes
888;LOC;Li
889;LOC;Knarrevik
890;LOC;Straume
891;LOC;Misje
892;LOC;Fjell
893;LOC;Sekkingstad
894;LOC;Haganes
895;LOC;Eidsvik
896;LOC;Florø
897;LOC;Brandsøy
898;LOC;Eikefjord
899;LOC;Byrknes
900;LOC;Eivindvik
901;LOC;Austreim
902;LOC;Kyrkjebø
903;LOC;Høyanger
904;LOC;Viksøyri
905;LOC;Balestrand
906;LOC;Hermansverk
907;LOC;Leikanger
908;LOC;Sogndalsfjøra
909;LOC;Kaupanger
910;LOC;Kjørnes
911;LOC;Aurlandsvangen
912;LOC;Lærdalsøyri
913;LOC;Øvre Årdal
914;LOC;Årdalstangen
915;LOC;Seimsdalen
916;LOC;Gaupne
917;LOC;Hafslo
918;LOC;Askvoll
919;LOC;Flekke
920;LOC;Langhaugane
921;LOC;Vassenden
922;LOC;Skei
923;LOC;Førde
924;LOC;Naustdal
925;LOC;Svelgen
926;LOC;Kalvåg
927;LOC;Bremanger
928;LOC;Raudeberg
929;LOC;Måløy
930;LOC;Holevik
931;LOC;Vågsvåg
932;LOC;Bryggja
933;LOC;Selje
