navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
HENRY;79;83;68;51;32;39;30;25;32;27;
HERKUS;13;7;4;:;:;:;:;:;:;:;
HERMAN;163;153;146;169;154;158;163;162;150;161;
HERMANN;:;12;11;10;12;9;9;12;15;18;
HJALMAR;10;15;7;14;15;7;6;8;4;5;
HUBERT;:;:;7;4;4;9;5;5;11;6;
HUGO;34;38;40;33;26;42;24;18;24;15;
HUSSEIN;7;12;11;16;19;8;13;12;8;16;
HÅKON;234;256;209;211;203;201;202;207;209;200;
HÅVARD;36;37;34;50;43;71;61;96;86;104;
IAN;14;16;11;14;10;6;15;13;10;13;
IBEN;:;:;8;6;:;7;4;4;8;10;
IBRAHIM;43;53;49;41;60;50;48;49;49;49;
IDRIS;9;10;10;5;5;5;:;:;6;:;
IGOR;9;9;7;18;12;12;12;17;12;10;
ILYAS;15;10;15;16;17;12;13;10;13;10;
IMRAN;15;17;14;17;18;10;12;12;8;6;
IMRE;21;17;20;20;31;28;25;20;34;22;
INGMAR;4;5;:;4;6;5;5;:;10;:;
ISA;8;7;17;6;15;4;5;11;8;8;
ISAAC;16;27;30;36;25;20;16;17;18;21;
ISAC;25;30;24;30;23;23;25;12;27;24;
ISAK;289;248;244;276;299;285;252;247;297;332;
ISMAIL;9;15;14;15;23;23;20;19;19;15;
IVAN;24;17;20;18;12;25;23;13;12;21;
IVAR;38;32;23;32;34;31;26;21;32;30;
IVER;168;185;157;140;145;132;130;141;122;114;
IVO;25;18;15;14;8;8;12;7;7;12;
JACK;9;8;16;14;22;15;12;5;10;13;
JACOB;164;121;150;144;139;161;127;145;140;134;
JAKOB;260;263;263;245;244;225;250;240;236;226;
JAKUB;26;34;21;32;40;37;30;50;34;47;
JAMES;11;13;12;18;10;15;10;14;10;10;
JAMIE;7;5;9;14;6;11;7;11;10;:;
JAN;61;71;64;70;78;73;65;62;77;83;
JARAN;:;7;4;11;9;6;4;11;:;10;
JARAND;:;:;:;7;:;:;7;8;8;12;
JARLE;5;6;12;12;6;:;6;7;4;7;
JASPER;7;11;8;15;10;8;8;14;10;8;
JAYDEN;9;9;6;6;5;5;12;:;8;:;
JENS;86;104;76;71;74;80;89;67;92;85;
JEPPE;16;18;20;12;9;12;7;9;12;18;
JESPER;86;114;116;97;86;92;103;118;120;117;
JIMMY;:;:;:;:;:;:;4;5;7;12;
JO;27;18;23;15;26;18;15;21;22;26;
JOACHIM;12;12;17;18;17;19;41;32;33;50;
JOAKIM;29;38;40;38;47;57;68;61;95;103;
JOAR;6;9;8;8;11;14;7;5;7;12;
JOEL;42;29;30;29;29;22;33;24;20;24;
JOHAN;186;196;205;154;166;183;135;159;145;158;
JOHANN;6;7;13;5;7;7;8;8;7;11;
JOHANNES;240;236;239;244;251;225;219;222;236;224;
JOHN;49;48;50;58;58;63;53;56;67;73;
JOKUBAS;8;10;13;5;6;7;9;7;5;:;
JON;36;51;51;53;48;54;65;55;77;68;
JONAH;24;28;14;28;18;27;22;28;35;19;
JONAS;298;329;307;329;315;401;399;425;459;448;
JONATAN;22;22;27;33;28;36;43;50;51;61;
JONATHAN;141;167;141;158;172;196;213;198;197;178;
JONE;16;21;19;17;20;17;18;20;34;26;
JOSEF;26;21;24;21;23;19;21;15;18;15;
JOSEPH;14;7;11;14;7;7;10;12;15;7;
JOSHUA;9;8;12;15;16;12;17;12;18;12;
JOSTEIN;8;12;7;10;14;11;16;18;14;19;
JULIAN;148;181;181;171;187;224;227;228;196;202;
JULIUS;13;19;11;14;23;18;20;19;19;15;
JUSTIN;:;:;:;:;7;10;6;15;10;:;
JØRGEN;56;60;58;77;61;76;90;113;144;144;
KACPER;19;25;25;25;35;28;35;28;29;30;
KAI;7;12;11;11;20;14;15;21;9;13;
KAJUS;13;11;13;12;15;13;11;9;8;10;
KAMIL;:;:;7;:;:;9;11;6;7;9;
KARIM;4;7;10;9;7;9;6;5;4;6;
KARL;38;70;41;56;35;48;69;61;57;55;
KAROL;5;6;8;6;8;13;10;8;8;6;
KARSTEN;22;20;15;10;20;17;10;18;16;19;
KASPER;188;188;189;179;166;164;177;181;212;170;
KASPIAN;10;9;15;19;11;13;11;12;:;11;
KENAN;4;5;:;5;:;11;:;4;:;11;
KENNETH;5;9;6;5;12;8;9;5;15;13;
KENT;:;7;:;:;4;4;7;7;11;9;
KEVIN;56;87;98;104;109;118;146;143;151;160;
KHALED;6;:;4;6;:;:;11;8;6;11;
KHALID;10;9;16;14;20;19;14;19;19;16;
KIAN;30;32;25;23;16;23;13;12;11;18;
KIM;11;11;16;17;21;20;20;29;35;23;
KJELL;6;5;5;6;7;6;7;7;18;9;
KJETIL;:;5;6;7;6;:;5;8;13;10;
KNUT;37;37;37;38;26;43;32;38;41;43;
KONRAD;44;40;49;46;41;32;39;47;40;30;
KORNELIUS;16;16;9;16;21;22;13;17;23;10;
KRISTIAN;123;130;164;167;180;195;243;266;244;270;
KRISTOFFER;67;95;79;98;82;119;153;152;204;218;
KRISTUPAS;4;5;6;9;4;11;:;6;6;:;
KRYSTIAN;:;6;:;8;6;7;5;11;9;13;
KÅRE;7;4;11;:;4;5;8;4;8;5;
LARS;105;99;121;119;128;153;158;159;161;186;
LASSE;26;18;26;30;25;29;30;35;47;33;
LAURITS;16;14;8;14;11;9;14;15;7;17;
LAURITZ;15;18;17;8;13;20;12;10;15;15;
LAVRANS;75;30;21;26;7;10;10;9;4;12;
LEANDER;114;111;141;163;140;191;153;191;163;147;
LEIF;7;13;12;15;11;10;12;17;13;11;
LENNOX;6;9;11;5;:;4;:;:;:;:;
LEO;134;139;147;140;167;164;147;145;143;128;
LEON;187;202;251;290;246;281;291;325;281;222;
LEONARD;37;33;43;35;33;46;24;30;37;22;
LEONARDO;8;14;17;9;10;8;8;13;6;11;
LEONEL;5;9;12;14;15;8;5;7;4;:;
LEVI;78;69;59;59;44;64;50;45;38;35;
LIAM;294;323;400;337;344;340;256;234;173;82;
LIAS;11;4;9;6;5;6;:;:;:;:;
LINUS;94;86;90;96;120;114;155;149;141;133;
LIONEL;13;17;18;8;10;16;13;6;:;:;
LOKE;45;36;29;49;39;36;24;26;18;19;
LORIK;:;10;6;4;6;:;5;4;5;4;
LOUIS;20;14;17;26;15;15;9;17;11;9;
LUCA;42;33;34;42;25;28;24;26;18;23;
LUCAS;248;235;232;272;263;320;320;341;358;337;
LUDVIG;160;168;159;142;134;123;142;101;76;75;
LUDVIK;81;70;57;60;53;75;76;80;65;62;
LUIS;10;10;12;8;14;9;8;6;10;12;
LUKA;22;21;22;24;18;21;19;29;18;29;
LUKAS;156;194;190;184;194;235;206;207;252;270;
LYDER;17;16;14;18;8;8;8;8;9;:;
MACIEJ;:;:;:;:;:;4;9;7;15;19;
MADS;22;28;50;33;57;54;79;79;87;101;
MAGNE;10;16;15;15;16;11;12;10;18;8;
MAGNUS;284;312;319;373;353;387;400;445;459;439;
MAHAMED;5;5;:;5;6;12;9;11;13;5;
MAHDI;:;5;:;4;5;:;:;4;11;8;
MAHIR;12;7;8;6;7;4;:;:;:;:;
MAHMOUD;5;5;8;11;8;10;7;9;7;6;
MAKSYMILIAN;8;17;18;12;19;11;12;17;11;15;
MALIK;7;7;11;9;4;5;9;7;9;9;
MALTE;5;5;10;9;7;6;4;7;:;5;
MALVIN;11;6;6;6;13;9;8;4;5;6;
MARCEL;20;20;20;29;22;22;17;19;19;21;
MARCO;:;11;18;10;16;13;15;8;13;19;
MARCUS;106;102;126;154;156;166;177;196;205;207;
MARIO;5;6;4;9;21;7;15;12;5;4;
MARIUS;141;131;148;170;216;225;212;256;295;298;
MARK;6;:;8;6;9;9;10;10;9;5;
MARKAS;5;7;9;10;6;4;5;:;:;:;
MARKUS;151;215;242;265;179;220;203;258;258;259;
MARTIN;177;244;231;252;223;312;308;341;344;363;
MARTINIUS;:;11;11;18;11;9;11;4;13;16;
MARTINUS;14;16;14;14;15;16;12;17;14;18;
MARVIN;5;:;4;5;5;9;10;9;:;4;
MATAS;23;15;9;14;22;16;10;14;17;14;
MATEO;36;27;33;34;32;20;27;18;30;18;
MATEUSZ;4;8;4;5;9;12;14;13;21;18;
MATHEO;233;250;249;244;241;262;160;119;101;60;
MATHEUS;18;13;19;19;12;8;18;12;10;14;
MATHIAS;257;364;376;350;345;374;410;454;434;454;
MATHIS;:;:;8;4;:;5;6;11;5;:;
MATIAS;42;41;36;44;45;45;44;40;52;45;
MATS;56;64;64;101;71;91;111;110;129;151;
MATTEO;23;19;18;25;20;20;24;28;11;18;
MATTEUS;10;13;12;13;13;12;12;13;9;7;
MATTHEW;:;:;7;9;8;5;:;13;5;5;
MATTHIAS;:;:;5;10;:;5;7;:;:;5;
MATTIAS;10;5;5;7;11;8;19;17;11;13;
MATTIS;21;18;22;36;30;36;32;42;27;31;
MAX;108;117;118;126;114;144;143;140;126;94;
MAXIM;6;8;11;12;7;10;9;10;7;4;
MAXIMILIAN;29;24;28;46;30;41;32;26;24;23;
MAXIMILLIAN;10;12;5;8;8;12;22;14;23;12;
MELVIN;26;23;24;27;16;10;14;22;15;12;
MICHAEL;30;51;40;53;58;55;55;67;49;55;
MICHAL;5;8;8;13;10;8;13;18;18;13;
MIKA;13;9;13;11;9;10;22;14;7;13;
MIKAEL;54;47;66;40;71;95;68;77;82;90;
MIKAIL;13;16;14;10;16;13;10;9;:;5;
MIKAL;8;6;6;8;14;21;16;17;20;17;
MIKKEL;181;203;163;169;160;175;195;153;190;150;
MIKOLAJ;15;20;11;10;7;11;17;14;9;13;
MILAN;25;20;44;25;20;10;16;15;6;14;
MILIAN;49;51;63;48;39;49;51;20;21;17;
MILLIAN;4;9;5;6;10;8;6;4;:;:;
MILO;16;10;19;15;17;13;11;5;8;11;
MIO;63;59;45;66;55;48;25;28;18;9;
MOHAMAD;9;18;17;26;28;25;27;31;33;27;
MOHAMED;46;56;58;74;48;52;71;70;68;66;
MOHAMMAD;61;77;78;81;93;104;106;89;92;86;
MOHAMMED;46;53;48;60;52;75;66;63;60;79;
MONS;12;8;9;5;8;13;8;13;11;13;
MORGAN;5;6;5;4;7;10;8;16;11;11;
MORTEN;16;19;9;28;25;21;41;27;35;55;
MOSTAFA;:;10;6;:;:;5;:;4;:;4;
MUHAMMAD;74;69;92;89;71;73;85;51;50;56;
MUHAMMED;19;14;19;15;24;16;11;21;15;16;
MUSAB;8;:;6;5;8;11;5;5;4;6;
MUSTAFA;17;18;25;29;15;18;25;17;25;16;
NATAN;16;21;26;12;15;10;12;11;10;9;
NATANIEL;12;7;12;12;13;17;11;12;9;12;
NATHAN;22;19;11;23;19;17;17;20;13;12;
NATHANIEL;41;44;52;59;64;72;61;54;67;44;
NATNAEL;5;10;6;8;6;4;7;5;:;4;
NEO;15;17;17;23;12;8;16;15;15;14;
NICHLAS;:;:;:;:;4;6;7;8;6;10;
NICHOLAS;19;29;31;36;33;33;37;54;51;47;
NICKLAS;22;18;25;21;32;34;41;42;30;42;
NICKOLAI;:;:;:;:;:;:;:;11;8;5;
NICLAS;:;5;8;9;11;10;9;16;16;15;
NICO;5;5;:;10;5;5;11;:;:;4;
NICOLAI;64;79;91;73;86;92;94;96;86;104;
NICOLAS;20;27;39;22;27;20;24;34;35;38;
