navn;Antall;
369 STRØMMEN;1212;
370 KAUR;1212;
371 ERVIK;1211;
372 GRØNVOLD;1207;
373 SOLSTAD;1203;
374 SKOGSTAD;1200;
375 SEIM;1199;
376 KLEIVEN;1193;
377 MELING;1192;
378 CLAUSEN;1189;
379 BENJAMINSEN;1189;
380 ASKELAND;1188;
381 TVEITEN;1187;
382 NICOLAISEN;1186;
383 SKJÆVELAND;1184;
384 SÆBØ;1183;
385 SKAR;1181;
386 LØLAND;1181;
387 SØVIK;1179;
388 GRAVDAL;1171;
389 NYHEIM;1169;
390 SAGEN;1168;
391 IQBAL;1167;
392 BEKKEVOLD;1166;
393 ROGNE;1160;
394 AUSTAD;1158;
395 STENSLAND;1157;
396 WINTHER;1156;
397 ENGH;1156;
398 VINJE;1154;
399 NORDAL;1153;
400 NYLAND;1149;
401 ØVREBØ;1143;
402 STEINSLAND;1141;
403 LYNGSTAD;1132;
404 RAMBERG;1127;
405 BENTSEN;1126;
406 THORKILDSEN;1122;
407 OLSTAD;1118;
408 BORGERSEN;1115;
409 BERTELSEN;1115;
410 NESHEIM;1114;
411 INGVALDSEN;1112;
412 FRYDENLUND;1111;
413 NORDGÅRD;1108;
414 SCHEI;1105;
415 LAURITSEN;1105;
416 BEKKEN;1102;
417 DIDRIKSEN;1100;
418 PERSSON;1099;
419 LANGSETH;1098;
420 ENOKSEN;1098;
421 SVENSSON;1097;
422 BARSTAD;1095;
423 ODDEN;1094;
424 JØRSTAD;1093;
425 BRENDEN;1092;
426 LIA;1091;
427 NORUM;1085;
428 THOMSEN;1083;
429 MIDTBØ;1059;
430 HUSE;1058;
431 HOEM;1058;
432 HEIMDAL;1058;
433 EVJEN;1058;
434 FØRDE;1055;
435 EIDEM;1051;
436 UELAND;1050;
437 ALSTAD;1049;
438 HANDELAND;1048;
439 FAGERLI;1047;
440 AASLAND;1047;
441 NORDHEIM;1042;
442 SÆTER;1040;
443 GILJE;1038;
444 TANDBERG;1037;
445 STENSETH;1036;
446 HORN;1036;
447 NICOLAYSEN;1033;
448 LANGE;1033;
449 FOSSEN;1033;
450 GJERSTAD;1031;
451 HUSEBY;1025;
452 HEGGELUND;1025;
453 ASLAKSEN;1025;
454 HOPLAND;1023;
455 BERGH;1022;
456 ALMÅS;1022;
457 WESTBY;1021;
458 HAUGERUD;1020;
459 BLINDHEIM;1019;
460 SOLLIE;1017;
461 KVALHEIM;1017;
462 KORNELIUSSEN;1016;
463 SVENSEN;1015;
464 BRUN;1014;
465 BRUUN;1001;
466 HÅGENSEN;997;
467 BERNTZEN;996;
468 BERGLI;995;
469 ØVERBY;993;
470 MYREN;991;
471 FURNES;991;
472 TØNNESEN;989;
473 LYSTAD;989;
474 REIERSEN;988;
475 LORENTSEN;984;
476 TORSVIK;981;
477 BRENNA;981;
478 SØRHEIM;979;
479 SKOG;979;
480 LOHNE;977;
481 HOVE;977;
482 GRANLI;977;
483 SELNES;976;
484 ØYE;975;
485 BERGHEIM;975;
486 HUSTAD;973;
487 HOLTEN;972;
488 NERLAND;971;
489 BLOM;971;
490 GREGERSEN;965;
491 NERGÅRD;964;
492 UNDHEIM;962;
493 TOTLAND;962;
494 BERGUM;962;
495 VÅGEN;960;
496 BJØRNDAL;959;
497 AKSNES;959;
498 TRONDSEN;958;
499 STANDAL;957;
500 LILAND;957;
501 MOHAMMAD;956;
502 SUNDAL;954;
503 GRINDHEIM;953;
504 MATHIASSEN;950;
505 FALCH;949;
506 HELGELAND;948;
507 BRATLAND;948;
508 ØSTREM;946;
509 ØSTENSEN;946;
510 VOLL;946;
511 HVIDSTEN;944;
512 FLATEN;944;
513 ÅSHEIM;943;
514 DYBVIK;943;
515 STORVIK;941;
516 MJELDE;939;
517 KJÆR;939;
518 ISMAIL;938;
519 SJURSEN;935;
520 ENG;935;
521 NYBERG;934;
522 RYGH;933;
523 AKSELSEN;932;
524 WIK;931;
525 HILLESTAD;931;
526 BJERKNES;928;
527 EINARSEN;927;
528 SOLUM;926;
529 NORDHAGEN;926;
530 MORKEN;926;
531 WAHL;924;
532 TOFT;923;
533 MALIK;922;
534 NYSTAD;919;
535 EIK;918;
536 STORHAUG;917;
537 MATRE;917;
538 BÅRDSEN;917;
539 AKHTAR;917;
540 AARSETH;915;
541 SANDAL;913;
542 RUSTEN;908;
543 RYEN;907;
544 LØVÅS;906;
545 ADOLFSEN;905;
546 LOTHE;903;
547 BERGSTRØM;901;
548 STØLEN;900;
549 SKRETTING;896;
550 FURUSETH;896;
551 KAASA;893;
552 OFTEDAL;892;
553 INGEBRETSEN;892;
554 ENGAN;889;
555 SÆTHRE;887;
556 HOFSTAD;887;
557 GRØNLI;885;
558 ERICHSEN;885;
559 WANGEN;882;
560 ALVESTAD;878;
561 REINERTSEN;875;
562 RØSTAD;873;
563 LØVIK;873;
564 HERLAND;872;
565 STRAUME;871;
566 KVÅLE;871;
567 KVALVIK;868;
568 HALDORSEN;863;
569 AAKRE;862;
570 HAUKÅS;861;
571 FØRLAND;860;
572 OVESEN;859;
573 HAUGSTAD;859;
574 ESPEDAL;856;
575 ASBJØRNSEN;856;
576 FJELLHEIM;855;
577 BRAATEN;852;
578 EIKREM;851;
579 SALTE;850;
580 MOLAND;850;
581 HUSEBØ;848;
582 HOLSTAD;848;
583 ULRIKSEN;846;
584 OMDAL;846;
585 NESSET;843;
586 JOSEFSEN;843;
587 SKOGHEIM;842;
588 LINDSETH;842;
589 SCHMIDT;840;
590 MYLLER;839;
591 TRONSTAD;836;
592 TELLEFSEN;835;
593 HØVIK;835;
594 HUYNH;835;
595 FORSBERG;835;
596 JAMA;833;
597 BJERKAN;833;
598 MICHAELSEN;832;
599 JOHNSON;832;
600 HERNES;832;
601 NORDSTRAND;831;
602 BUTT;830;
603 HAAGENSEN;828;
604 OLUFSEN;827;
605 MOHAMUD;826;
606 VALLE;824;
607 ANDERSSEN;824;
608 ROSTAD;823;
609 NYLUND;822;
610 RAVNDAL;820;
611 HOLAND;820;
612 MYHREN;817;
613 BYBERG;817;
614 YUSUF;814;
615 STRØMSNES;814;
616 LINDSTAD;814;
617 STORLI;813;
618 VALEN;812;
619 RYGG;812;
620 HOLTH;812;
621 LINDGREN;811;
622 BRUSTAD;811;
623 HALS;810;
624 RØE;809;
625 ØYGARDEN;805;
626 FJELLSTAD;805;
627 LI;802;
628 LIER;798;
629 VIKAN;797;
630 SÆLE;797;
631 VEDVIK;795;
632 JONSSON;795;
633 EGGE;795;
634 FARAH;794;
635 MØRCH;793;
636 STUBBERUD;792;
637 BENTZEN;792;
638 VOLLAN;791;
639 SANDEN;790;
640 FAGERHEIM;790;
641 SKARE;789;
642 EKEBERG;787;
643 SØYLAND;785;
644 LØSETH;785;
645 BJØRKE;784;
646 GRØNNING;783;
647 SØBERG;782;
648 STOKKA;781;
649 AMDAL;780;
650 LØVDAL;779;
651 SHARMA;778;
652 ØEN;777;
653 CORNELIUSSEN;777;
654 STEINE;776;
655 FJELL;776;
656 ABDULLAHI;776;
657 KROKEN;775;
658 MOBERG;773;
659 HOLME;773;
660 BRANDT;772;
661 SUNDT;771;
662 SANNES;768;
663 KOPPERUD;768;
664 HOLTAN;768;
665 WALLE;767;
666 OMLAND;767;
667 HØILAND;767;
668 BECK;767;
669 BRANDAL;766;
670 MAHMOOD;763;
671 HANSSON;763;
672 HODNE;762;
673 BEKKELUND;761;
674 FOSSHEIM;759;
675 AHMADI;759;
676 LØBERG;758;
677 GISKE;757;
678 BUER;755;
